Time Node entropy gini t05 enrate ginirate t05rate apa cusum
10 gw-3 4.14266 0.941828 6.44902 0.0143188 0.00730295 0.0112577 1 0
10 gw-4 4.22193 0.945 6.6823 0.0191335 0.00336765 0.0361729 1 0
10 gw-5 3.98418 0.93 6.11526 0.0334175 0.0106383 0.0475166 1 0
10 gw-6 4.12193 0.94 6.42033 0.0248637 0.00534759 0.0425392 1 0
10 gw-7 4.0374 0.936288 6.18024 0.0437068 0.00921895 0.0751323 1 0
10 gw-8 3.96982 0.934256 5.96206 0.0347246 0.00899654 0.0539538 1 0
10 gw-9 4.71451 0.957265 8.52138 0.0140669 0.00311364 0.0244147 1 0
10 gw-10 4.92643 0.962525 9.28668 0.0137432 8.2301e-05 0.0356297 1 0
10 gw-11 4.80451 0.95858 8.88061 0.0209013 0.00545703 0.0290085 1 0
10 gw-12 4.74329 0.958367 8.57881 0.00916089 0.00152781 0.0191006 1 0
10 gw-13 5.56537 0.975069 12.2605 0.0290396 0.00177847 0.0707516 1 0
10 gw-14 5.31483 0.970539 11.1059 0.017371 0.00216612 0.0367423 1 0
10 gw-15 5.91517 0.980324 14.2483 0.0189672 0.00178866 0.0355637 1 0
10 gw-16 5.94613 0.98107 14.3369 0.0226695 0.00223996 0.0402508 1 0
