Time Node entropy gini t05 enrate ginirate t05rate apa cusum m_cusum
255 gw-1 4.69143 0.953125 8.73022 0.0625964 0.00446429 0.176268 0 1 9.3058
255 gw-2 5.1875 0.967773 10.5355 0.220372 0.035493 0.485727 0 1 8.43039
255 gw-3 5.34594 0.972537 11.0962 0.175347 0.0201439 0.413572 0 1 8.8119
255 gw-4 4.86396 0.960443 9.21997 0.0792281 0.00745815 0.201916 0 0 0.0528306
255 gw-5 5.07999 0.964979 10.0782 0.168031 0.0195314 0.397495 0 1 14.1184
255 gw-6 5.03321 0.964355 9.89359 0.14001 0.0162997 0.333014 0 0 0.0703929
255 gw-7 5.13462 0.967285 10.2596 0.14568 0.0170054 0.343609 0 0 0.0891077
255 gw-8 4.8197 0.957336 9.15067 0.127968 0.0184427 0.288374 0 1 15.0657
255 gw-9 5.45686 0.97111 12.0551 0.0896309 0.00610208 0.246071 0 1 11.6214
255 gw-10 5.70333 0.977328 13.0852 0.104491 0.00912598 0.267596 0 1 5.96538
255 gw-11 5.60006 0.975676 12.5123 0.0987388 0.0114144 0.226298 0 1 10.2574
255 gw-12 5.58216 0.973333 12.688 0.124362 0.0127168 0.309317 0 1 10.4486
255 gw-13 5.94489 0.978903 14.7334 0.0654935 0.00321558 0.189271 0 1 12.0873
255 gw-14 5.92392 0.97929 14.4953 0.0727075 0.00692812 0.168949 0 1 10.3522
255 gw-15 6.17045 0.982326 16.084 0.0429886 0.00313533 0.104766 0 1 17.4072
255 gw-16 6.20267 0.983085 16.1845 0.0431179 0.00335305 0.104015 0 1 16.3422
255 prod-bb-1 6.20552 0.98312 16.1949 0.0435973 0.00338853 0.10472 0 1 16.5964
256 good-leaf-1 3.69012 0.913495 5.34702 0.137491 0.0294118 0.247057 0 0 0
256 evil-leaf-2 3.85217 0.927336 5.67791 0.104262 0.0165138 0.204166 0 1 10.2879
256 evil-leaf-3 3.85217 0.927336 5.67791 0.186366 0.0342342 0.328563 0 1 9.98332
256 good-leaf-4 3.73452 0.920415 5.39377 0.191115 0.0379747 0.330343 0 0 0.0306202
256 evil-leaf-5 3.73452 0.920415 5.39377 0.207498 0.0397112 0.359662 0 1 10.0394
256 good-leaf-6 4.08746 0.941176 6.24621 0.0870136 0.00729927 0.192716 0 0 0.0429657
256 good-leaf-7 3.57247 0.906574 5.06287 0.179043 0.040293 0.308306 0 0 0.00674811
256 good-leaf-8 3.85217 0.927336 5.67791 0.107255 0.018315 0.20607 0 0 0.0133971
256 evil-leaf-9 4.08746 0.941176 6.24621 0.0988538 0.0127042 0.201307 0 1 10.1751
256 evil-leaf-10 3.80776 0.920415 5.63117 0.155839 0.0274223 0.288113 0 1 9.84977
256 good-leaf-11 3.96982 0.934256 5.96206 0.142828 0.0217391 0.271972 0 0 0.0478379
256 good-leaf-12 3.96982 0.934256 5.96206 0.0672752 0.00917431 0.14224 0 0 0.0204347
256 good-leaf-13 3.85217 0.927336 5.67791 0.172199 0.0307414 0.309456 0 0 0.0429304
256 good-leaf-14 3.73452 0.920415 5.39377 0.176665 0.0344828 0.310308 0 0 0.0351408
256 evil-leaf-15 3.73452 0.920415 5.39377 0.191115 0.0344828 0.339987 0 1 9.96644
256 evil-leaf-16 3.96982 0.934256 5.96206 0.096948 0.010989 0.205411 0 1 10.5831
256 gw-1 4.28039 0.943878 6.99673 0.0876137 0.00970224 0.198562 0 1 9.27014
256 gw-2 4.14839 0.935556 6.69167 0.20031 0.0332907 0.364848 0 1 8.38139
256 gw-3 4.64022 0.957778 8.09886 0.13201 0.0151762 0.270124 0 1 8.81597
256 gw-4 4.37878 0.94898 7.25457 0.0997498 0.011936 0.213168 0 0 0.0367552
256 gw-5 4.45021 0.951531 7.47597 0.123972 0.013936 0.258207 0 1 14.0975
256 gw-6 4.57356 0.955556 7.88496 0.0913247 0.00912518 0.203024 0 0 0.0682543
256 gw-7 4.55609 0.953627 7.86431 0.112673 0.0141205 0.233469 0 0 0.0941576
256 gw-8 4.34919 0.946492 7.21165 0.0976221 0.0113271 0.211899 0 1 15.0475
256 gw-9 4.90326 0.960459 9.39857 0.101449 0.0109676 0.220368 0 1 11.5614
256 gw-10 5.06031 0.966706 9.86136 0.112744 0.0108684 0.246374 0 1 5.93981
256 gw-11 5.19825 0.969084 10.4767 0.0717512 0.00675629 0.162686 0 1 10.2525
256 gw-12 5.21126 0.969679 10.502 0.0664434 0.0037545 0.172285 0 1 10.4605
256 gw-13 5.58975 0.974545 12.5704 0.0597392 0.00445141 0.146815 0 1 12.047
256 gw-14 5.76824 0.978032 13.4022 0.0262801 0.00128439 0.0754064 0 1 10.3747
256 gw-15 6.0179 0.980677 15.0891 0.0247221 0.00167901 0.0618523 0 1 17.398
256 gw-16 6.08062 0.982345 15.2655 0.0196769 0.000753187 0.0567828 0 1 16.338
256 prod-bb-1 6.08062 0.982345 15.2655 0.0201272 0.000788524 0.057385 0 1 16.5906
257 good-leaf-1 4.16993 0.944444 6.48528 0.130025 0.0338805 0.212878 0 0 0.00522421
257 evil-leaf-2 3.79465 0.919753 5.61142 0.0149306 0.00817671 0.0117108 0 1 10.2743
257 evil-leaf-3 3.9477 0.932099 5.933 0.0248001 0.00513636 0.0449252 0 1 9.97365
257 good-leaf-4 3.79465 0.919753 5.61142 0.0161016 0.000719391 0.0403531 0 0 0.0146778
257 evil-leaf-5 3.79465 0.919753 5.61142 0.0161016 0.000719391 0.0403531 0 1 10.019
257 good-leaf-6 3.83659 0.925926 5.65685 0.0613758 0.0162037 0.0943543 0 0 0.0266247
257 good-leaf-7 4.05881 0.938272 6.20914 0.136137 0.0349637 0.226407 0 0 0.0106171
257 good-leaf-8 3.9477 0.932099 5.933 0.0248001 0.00513636 0.0449252 0 0 0.00657007
257 evil-leaf-9 4.05881 0.938272 6.20914 0.00700898 0.00308642 0.00593516 0 1 10.1741
257 evil-leaf-10 3.79465 0.919753 5.61142 0.00344299 0.000719391 0.00350612 0 1 9.83118
257 good-leaf-11 4.16993 0.944444 6.48528 0.0504077 0.0109053 0.0877579 0 0 0.0550341
257 good-leaf-12 4.05881 0.938272 6.20914 0.0224187 0.00429813 0.0414413 0 0 0.0238108
257 good-leaf-13 4.16993 0.944444 6.48528 0.0824876 0.0184494 0.142194 0 0 0.0513225
257 good-leaf-14 4.05881 0.938272 6.20914 0.0868363 0.0194004 0.151169 0 0 0.0418975
257 evil-leaf-15 4.05881 0.938272 6.20914 0.0868363 0.0194004 0.151169 0 1 9.96692
257 evil-leaf-16 3.83659 0.925926 5.65685 0.0335593 0.00891632 0.0511918 0 1 10.579
257 gw-1 4.6757 0.955017 8.37314 0.0923521 0.0118021 0.196721 0 1 9.28441
257 gw-2 4.49092 0.949495 7.75691 0.0825681 0.0148996 0.159188 0 1 8.3713
257 gw-3 4.29425 0.942149 7.1277 0.0745606 0.016318 0.119912 0 1 8.78479
257 gw-4 4.63129 0.955017 8.18933 0.0576666 0.00636232 0.128852 0 0 0.053452
257 gw-5 4.6757 0.955017 8.37314 0.0506686 0.00366429 0.120007 0 1 14.1094
257 gw-6 4.73452 0.960208 8.45637 0.0351946 0.00486843 0.0724682 0 0 0.0867492
257 gw-7 4.77114 0.960208 8.62423 0.0472015 0.006901 0.0966286 0 0 0.125875
257 gw-8 4.63129 0.955017 8.18933 0.0648629 0.00900697 0.13557 0 1 15.0636
257 gw-9 5.1635 0.965106 10.5797 0.0530746 0.0048377 0.125673 0 1 11.5585
257 gw-10 5.03561 0.961893 10.0772 0.0048811 0.00497857 0.0218894 0 1 5.92446
257 gw-11 5.2111 0.967699 10.666 0.00247305 0.00142981 0.0180646 0 1 10.2566
257 gw-12 5.37162 0.973045 11.2237 0.030772 0.00347153 0.0687169 0 1 10.5061
257 gw-13 5.61564 0.974121 12.8828 0.00463289 0.000435445 0.0248585 0 1 12.0256
257 gw-14 5.85927 0.979896 13.8615 0.0157816 0.00190599 0.0342691 0 1 10.4244
257 gw-15 6.04849 0.981396 15.218 0.00508256 0.000733579 0.00854087 0 1 17.3976
257 gw-16 6.08082 0.98244 15.2552 3.30723e-05 9.71213e-05 0.000674126 0 1 16.3331
257 prod-bb-1 6.08082 0.98244 15.2552 3.30723e-05 9.71213e-05 0.000674126 0 1 16.584
258 good-leaf-1 4.83292 0.961333 8.91635 0.158995 0.0178815 0.37486 0 0 0.0800979
258 evil-leaf-2 4.9489 0.964902 9.31239 0.304176 0.0490879 0.659543 0 1 10.3633
258 evil-leaf-3 4.75377 0.960143 8.58052 0.204187 0.0300869 0.446237 0 1 10.0395
258 good-leaf-4 4.67463 0.954194 8.45904 0.231898 0.0374458 0.507469 0 0 0.0787153
258 evil-leaf-5 4.44874 0.935158 8.034 0.172372 0.0167486 0.431722 0 1 10.0683
258 good-leaf-6 4.58902 0.953004 8.10869 0.196119 0.0292445 0.433427 0 0 0.079755
258 good-leaf-7 4.8817 0.962522 9.09932 0.202741 0.0258461 0.465472 0 0 0.0942143
258 good-leaf-8 4.54024 0.949435 8.0329 0.150097 0.018599 0.353937 0 0 0.0586948
