Time Node entropy gini t05 enrate ginirate t05rate apa cusum
86 good-leaf-7 4.0323 0.932785 6.28889 1.01615 0.243713 2.14445 1 0
86 good-leaf-8 4.0323 0.932785 6.28889 1.01615 0.243713 2.14445 1 0
86 evil-leaf-9 7.65394 0.99483 26.5672 0.000377323 0.000196214 0.00805621 1 0
86 evil-leaf-10 7.74829 0.99527 27.4039 0.0215328 0.000481207 0.0657697 1 0
86 good-leaf-11 4.01415 0.930041 6.26969 1.00707 0.240055 2.13484 1 0
86 good-leaf-12 4.10638 0.935528 6.51436 1.05319 0.247371 2.25718 1 0
86 good-leaf-13 3.67639 0.908093 5.45052 0.838195 0.210791 1.72526 1 0
86 good-leaf-14 3.8562 0.924554 5.80086 0.928098 0.232739 1.90043 1 0
86 evil-leaf-15 7.61897 0.994571 26.3404 0.012351 0.000670122 0.0238049 1 0
86 evil-leaf-16 7.72545 0.994896 27.3942 0.00269009 0.000298147 0.0183013 1 0
86 gw-1 7.72922 0.994818 27.5589 0.00194096 0.000422525 0.0213525 1 0
86 gw-2 7.80617 0.995181 28.2695 0.018373 0.000108047 0.0669493 1 0
86 gw-3 7.79031 0.995196 28.0479 0.00543553 0.000153367 0.0264264 1 0
86 gw-4 4.58758 0.951389 8.19939 1.29379 0.268519 3.09969 1 0
86 gw-5 8.05901 0.996026 31.1736 0.0143145 0.000292137 0.0446301 1 0
86 gw-6 4.6714 0.956994 8.33735 1.3357 0.275992 3.16868 1 0
86 gw-7 4.30928 0.941603 7.24533 1.71886 0.412404 3.94865 1 0
86 gw-8 7.81353 0.995408 28.2526 0.0016811 2.05804e-05 0.00737405 1 0
86 gw-9 6.68235 0.989955 18.3911 0.0117401 0.000824222 0.0230699 1 0
86 gw-10 6.23206 0.984308 15.8882 0.00364112 0.00220793 0.044954 1 0
86 gw-11 5.87398 0.981038 13.6761 0.00956972 0.0026113 0.0040796 1 0
86 gw-12 5.83083 0.979766 13.5666 0.060463 0.00605404 0.117773 1 0
86 gw-13 7.20508 0.992407 22.8039 0.0135033 0.000206347 0.0417031 1 0
86 gw-14 6.43802 0.987222 17.0311 0.0552759 0.00321446 0.130282 1 0
86 gw-15 7.46659 0.993545 25.4043 0.0050559 0.000108126 0.01233 1 0
86 gw-16 7.44988 0.993539 25.1821 0.00513388 5.05841e-05 0.0154808 1 0
86 prod-bb-1 7.44742 0.993573 25.1293 0.00549254 9.21817e-05 0.0158144 1 0
87 good-leaf-1 2.23593 0.77551 2.40588 0.404414 0.156199 0.565592 1 0
87 evil-leaf-2 7.65821 0.99505 26.4253 0.0101784 0.000162702 0.0325564 1 0
