Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
94	0.988888889	0.988888889	0.988888889	0.988888889	0.97979798	0.982905983	0.972592593	0.971428571
95	0.955555556	0.955555556	0.955555556	0.977777778	0.982828283	0.992307692	0.98	0.971428571
96	0.966666667	0.966666667	0.966666667	0.977777778	1.01010101	0.967521368	0.994074074	1.015873016
97	0.988888889	0.988888889	0.988888889	0.966666667	0.963636364	0.984615385	0.98	0.985714286
98	0.987654321	0.987654321	0.987654321	1.012345679	0.988636364	0.967307692	0.971666667	0.985714286
99	0.988888889	0.988888889	0.988888889	1	0.972727273	1	0.986666667	0.985714286
100	0.988888889	0.988888889	0.988888889	0.977777778	0.943434343	0.935042735	0.971666667	0.984126984
101	0.990123457	0.990123457	0.990123457	1.013580247	0.991919192	0.984615385	0.973333333	0.958730159
102	0.966666667	0.966666667	0.966666667	0.966666667	1	0.976923077	0.98	0.971428571
103	1.012345679	1.012345679	1.012345679	0.988888889	0.917171717	0.976923077	0.96	0.985714286
104	0.956790123	0.956790123	0.956790123	1.001234568	0.972727273	0.993162393	0.98	0.985714286
105	0.977777778	0.977777778	0.977777778	0.987654321	1	0.976923077	0.986666667	0.985714286
106	1	1	1	1	0.980808081	1	0.986666667	1.014285714
107	0.988888889	0.988888889	0.988888889	0.988888889	1	0.992307692	1	0.957142857
108	0.965432099	0.965432099	0.965432099	0.977777778	0.945454545	0.969230769	0.96	0.971428571
109	0.966666667	0.966666667	0.966666667	1	0.98989899	0.968376068	0.98	0.985714286
110	0.977777778	0.977777778	0.977777778	0.966666667	0.962626263	0.992307692	0.986666667	0.935714286
111	0.988888889	0.988888889	0.988888889	0.977777778	0.980808081	0.983760684	0.965925926	1
112	0.998765432	0.998765432	0.998765432	0.988888889	0.990909091	1	1.006666667	0.968253968
113	0.966666667	0.966666667	0.966666667	0.988888889	1	0.983760684	0.972592593	0.971428571
114	1.001234568	1.001234568	1.001234568	0.966666667	0.990909091	0.976068376	0.98	0.971428571
115	1	1	1	1	0.970454545	0.990384615	0.978333333	1
116	0.977777778	0.977777778	0.977777778	1.011111111	0.992929293	0.960683761	1.006666667	1.015873016
117	0.988888889	0.988888889	0.988888889	0.97654321	0.926262626	0.952136752	0.937777778	0.967857143
118	0.966666667	0.966666667	0.966666667	0.977777778	1	1	1.007407407	1
119	1	1	1	0.977777778	0.972727273	0.983760684	0.973333333	0.971428571
120	0.975308642	0.975308642	0.975308642	0.987654321	1.001010101	0.986538462	0.995740741	0.971428571
121	0.677777778	0.677777778	0.844444444	0.744444444	0.786868687	0.907692308	0.94	0.633333333
122	0.665432099	0.830864198	0.679012346	0.759259259	0.909090909	0.928846154	0.951666667	0.671428571
123	0.466666667	0.965432099	0.975308642	0.858024691	1.019191919	0.992307692	0.993333333	0.928571429
124	0.677777778	1.001234568	0.990123457	0.941975309	0.990909091	0.984615385	0.986666667	1.028571429
125	0.163888889	0.977777778	0.965432099	0.92345679	0.945454545	0.937606838	0.945925926	0.926984127
126	0.655555556	0.964197531	0.988888889	0.965432099	0.952525253	0.984615385	0.993333333	0.985714286
127	0.335802469	0.977777778	0.97654321	1.002777778	0.990909091	0.984615385	0.979259259	0.967857143
128	0.655555556	0.977777778	0.977777778	0.9	0.990909091	0.993162393	0.98	0.957142857
129	0.7	1.015123457	0.990123457	0.95308642	0.963636364	0.983760684	0.98	0.941269841
130	0.667901235	0.988888889	0.977777778	0.922222222	1.011111111	0.992307692	0.994074074	0.985714286
131	0.522222222	0.966666667	1.009876543	0.941975309	0.981818182	0.992307692	1.02	1
132	0.455555556	1.001234568	0.97654321	0.966666667	0.982828283	1.008547009	0.959259259	1.014285714
133	0.311111111	0.965432099	0.95308642	0.933333333	0.972727273	0.985470085	0.994074074	0.987301587
134	0.277777778	0.955555556	0.955555556	0.965432099	0.981818182	0.985470085	0.973333333	0.971428571
135	0.733333333	0.988888889	1.011111111	0.966666667	0.980808081	0.976068376	0.994074074	0.985714286
136	0.655555556	1.011111111	1	0.988888889	0.963636364	0.984615385	0.986666667	0.971428571
137	0.677777778	0.977777778	0.977777778	0.977777778	0.990909091	1.001923077	1.009074074	0.985714286
138	0.612345679	1.012345679	1.024691358	0.975308642	0.990909091	0.960683761	0.952592593	0.957142857
139	0.444444444	0.955555556	0.944444444	0.97654321	0.980808081	0.976068376	0.98	0.971428571
