Time Node interest
2.14021 8 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.15021 1 /p/good/good-leaf-2/%FE%11?ndn.Nonce=3008527361
2.15025 1 /p/good/good-leaf-4/%FE%01?ndn.Nonce=137274257
2.2 10 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.2 12 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.2 13 /p/good/good-leaf-5/%FE%07?ndn.Nonce=3313319718
2.21004 2 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.21004 3 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.21004 7 /p/good/good-leaf-5/%FE%07?ndn.Nonce=3313319718
2.22008 4 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.22008 5 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.22008 0 /p/good/good-leaf-5/%FE%07?ndn.Nonce=3313319718
2.23012 6 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.23012 6 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.24017 8 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.24021 8 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.25021 1 /p/good/good-leaf-2/%FE%01?ndn.Nonce=1494370425
2.25025 1 /p/good/good-leaf-4/%FE%17?ndn.Nonce=3520981839
2.3 10 /p/good/good-leaf-2/%FE%03?ndn.Nonce=3606122456
2.3 12 /p/good/good-leaf-4/%FE%16?ndn.Nonce=2243885534
2.3 13 /p/good/good-leaf-5/%FE%15?ndn.Nonce=4245757201
2.31004 2 /p/good/good-leaf-2/%FE%03?ndn.Nonce=3606122456
2.31004 3 /p/good/good-leaf-4/%FE%16?ndn.Nonce=2243885534
2.31004 7 /p/good/good-leaf-5/%FE%15?ndn.Nonce=4245757201
2.32008 4 /p/good/good-leaf-2/%FE%03?ndn.Nonce=3606122456
2.32008 5 /p/good/good-leaf-4/%FE%16?ndn.Nonce=2243885534
2.32008 0 /p/good/good-leaf-5/%FE%15?ndn.Nonce=4245757201
2.33012 6 /p/good/good-leaf-2/%FE%03?ndn.Nonce=3606122456
2.33012 6 /p/good/good-leaf-4/%FE%16?ndn.Nonce=2243885534
2.34017 8 /p/good/good-leaf-2/%FE%03?ndn.Nonce=3606122456
2.34021 8 /p/good/good-leaf-4/%FE%16?ndn.Nonce=2243885534
