Time Node gini
14 gw-156 0.814288
14 gw-159 0.165289
14 gw-162 0.749307
14 gw-244 0.646398
14 gw-181 0.708333
14 gw-275 0.710059
14 gw-276 0.277778
14 gw-166 0
14 gw-171 0.655464
14 gw-173 0.095
14 gw-172 0
14 gw-174 0
14 gw-182 0.277778
14 gw-239 0.32
14 gw-285 0
14 gw-242 0.75
14 gw-229 0.0919508
14 gw-213 0.716049
14 gw-187 0.5
14 gw-188 0
14 gw-218 0.5
14 gw-207 0.32
14 gw-217 0.592593
14 gw-255 0
14 gw-214 0.592593
14 gw-245 0
14 gw-222 0
14 gw-208 0.244898
14 gw-295 0.277778
14 gw-312 0.637119
14 gw-219 0
14 gw-304 0.5
14 gw-293 0
14 gw-234 0.470591
14 gw-303 0
14 gw-235 0.0945521
14 gw-247 0
14 gw-316 0
14 gw-317 0
14 gw-279 0
15 gw-123 0.651812
15 gw-125 0
15 gw-178 0.0907029
15 gw-195 0.0936689
15 gw-127 0
15 gw-150 0.79005
15 gw-152 0.0907029
15 gw-257 0
15 gw-282 0
15 gw-133 0.244898
15 gw-134 0.19947
15 gw-202 0.592593
15 gw-262 0
15 gw-236 0.40774
15 gw-237 0
15 gw-203 0
15 gw-200 0.407654
15 gw-201 0.41
15 gw-137 0.452381
15 gw-138 0
15 gw-140 0.399093
15 gw-141 0.0911151
15 gw-228 0.321995
15 gw-170 0.426272
15 gw-227 0.277778
15 gw-147 0
15 gw-149 0.375
15 gw-158 0.720335
15 gw-156 0.795864
15 gw-159 0.165289
15 gw-162 0.75
15 gw-244 0.591923
15 gw-181 0.708333
15 gw-275 0.710294
15 gw-276 0.277778
15 gw-166 0
15 gw-171 0.695294
15 gw-173 0.0932334
15 gw-172 0
15 gw-174 0
15 gw-182 0.277778
15 gw-239 0.32
15 gw-285 0
15 gw-242 0.75
15 gw-229 0.0977787
15 gw-213 0.716049
15 gw-187 0.5
15 gw-188 0
15 gw-218 0.5
15 gw-207 0.32
15 gw-217 0.592593
15 gw-255 0
15 gw-214 0.592593
15 gw-245 0
15 gw-222 0
15 gw-208 0.244898
15 gw-295 0.277778
15 gw-312 0.634921
15 gw-219 0
15 gw-304 0.5
15 gw-293 0
15 gw-234 0.650344
15 gw-303 0
15 gw-235 0.0907029
15 gw-247 0
15 gw-316 0
15 gw-317 0
15 gw-279 0
16 gw-123 0.66679
16 gw-125 0
16 gw-178 0.0911151
16 gw-195 0.0915311
16 gw-127 0
16 gw-150 0.799058
16 gw-152 0.0907029
16 gw-257 0
16 gw-282 0
16 gw-133 0.244898
16 gw-134 0.324865
16 gw-202 0.592593
16 gw-262 0
16 gw-236 0.427569
16 gw-237 0
16 gw-203 0
16 gw-200 0.455892
16 gw-201 0.415367
16 gw-137 0.445411
16 gw-138 0
16 gw-140 0.400449
16 gw-141 0.0915311
16 gw-228 0.310341
16 gw-170 0.605248
16 gw-227 0.277778
16 gw-147 0
16 gw-149 0.375
16 gw-158 0.721933
16 gw-156 0.813603
16 gw-159 0
16 gw-162 0.749307
16 gw-244 0.591977
16 gw-181 0.708333
16 gw-275 0.710059
16 gw-276 0.277778
16 gw-166 0
16 gw-171 0.7326
16 gw-173 0.0954521
16 gw-172 0
16 gw-174 0
16 gw-182 0.277778
16 gw-239 0.32
16 gw-285 0
16 gw-242 0.75
16 gw-229 0.0959086
16 gw-213 0.716049
16 gw-187 0.5
16 gw-188 0
16 gw-218 0.5
16 gw-207 0.32
16 gw-217 0.592593
16 gw-255 0
16 gw-214 0.592593
16 gw-245 0
16 gw-222 0
16 gw-208 0.244898
16 gw-295 0.277778
16 gw-312 0.623457
16 gw-219 0
16 gw-304 0.5
16 gw-293 0
16 gw-234 0.604581
16 gw-303 0
16 gw-235 0.0911151
16 gw-247 0
16 gw-316 0
16 gw-317 0
16 gw-279 0
17 gw-123 0.62254
17 gw-125 0
17 gw-178 0.0907029
17 gw-195 0.095
17 gw-127 0
17 gw-150 0.740733
17 gw-152 0.0915311
17 gw-257 0
17 gw-282 0
17 gw-133 0.244898
17 gw-134 0.362812
17 gw-202 0.592593
17 gw-262 0
17 gw-236 0.419983
17 gw-237 0
17 gw-203 0
17 gw-200 0.526411
