Time Node t1 t2 gini
6 87 DetectionApp:GetPit(): [DEBUG] 0
6 88 DetectionApp:GetPit(): [DEBUG] 0
6 89 DetectionApp:GetPit(): [DEBUG] 0
6 90 DetectionApp:GetPit(): [DEBUG] 0
7 23 DetectionApp:GetPit(): [DEBUG] 0
7 24 DetectionApp:GetPit(): [DEBUG] 0
7 25 DetectionApp:GetPit(): [DEBUG] 0
7 26 DetectionApp:GetPit(): [DEBUG] 0.875
7 27 DetectionApp:GetPit(): [DEBUG] 0
7 28 DetectionApp:GetPit(): [DEBUG] 0
7 29 DetectionApp:GetPit(): [DEBUG] 0
7 30 DetectionApp:GetPit(): [DEBUG] 0
7 31 DetectionApp:GetPit(): [DEBUG] 0
7 32 DetectionApp:GetPit(): [DEBUG] 0.8
7 33 DetectionApp:GetPit(): [DEBUG] 0
7 34 DetectionApp:GetPit(): [DEBUG] 0.857143
7 35 DetectionApp:GetPit(): [DEBUG] 0.5
7 36 DetectionApp:GetPit(): [DEBUG] 0.5
7 37 DetectionApp:GetPit(): [DEBUG] 0
7 38 DetectionApp:GetPit(): [DEBUG] 0
7 39 DetectionApp:GetPit(): [DEBUG] 0
7 40 DetectionApp:GetPit(): [DEBUG] 0.888889
7 41 DetectionApp:GetPit(): [DEBUG] 0
7 42 DetectionApp:GetPit(): [DEBUG] 0
7 43 DetectionApp:GetPit(): [DEBUG] 0
7 44 DetectionApp:GetPit(): [DEBUG] 0
7 45 DetectionApp:GetPit(): [DEBUG] 0
7 46 DetectionApp:GetPit(): [DEBUG] 0.5
7 47 DetectionApp:GetPit(): [DEBUG] 0
7 48 DetectionApp:GetPit(): [DEBUG] 0
7 49 DetectionApp:GetPit(): [DEBUG] 0
7 50 DetectionApp:GetPit(): [DEBUG] 0
7 51 DetectionApp:GetPit(): [DEBUG] 0
7 52 DetectionApp:GetPit(): [DEBUG] 0
7 53 DetectionApp:GetPit(): [DEBUG] 0
7 54 DetectionApp:GetPit(): [DEBUG] 0
7 55 DetectionApp:GetPit(): [DEBUG] 0
7 56 DetectionApp:GetPit(): [DEBUG] 0
7 57 DetectionApp:GetPit(): [DEBUG] 0
7 58 DetectionApp:GetPit(): [DEBUG] 0
7 59 DetectionApp:GetPit(): [DEBUG] 0.5
7 60 DetectionApp:GetPit(): [DEBUG] 0
7 61 DetectionApp:GetPit(): [DEBUG] 0
7 62 DetectionApp:GetPit(): [DEBUG] 0
7 63 DetectionApp:GetPit(): [DEBUG] 0
7 64 DetectionApp:GetPit(): [DEBUG] 0
